Ranking,title,apple_rank,google_rank
151,MLB 9이닝스 21,74.0,160.0
152,Tinder 틴더 - 동네 친구를 만나는 곳,56.0,203.0
153,"비고 라이브 Bigo Live - 실시간 라이브 방송, 온라인 스트리밍",52.0,234.0
154,클래시 오브 킹즈 (Clash of kings) : 새로운 캐슬 영야성,,144.0
155,더 워킹데드: 서바이버즈,,107.0
156,레알팜 : 진짜 농산물 주는 게임,,365.0
157,패밀리팜 어드벤처,120.0,134.0
158,파이널삼국지2,,185.0
159,랭커,,130.0
160,한게임 신맞고 : 대한민국 원조 고스톱,,113.0
161,클론다이크 대탐험,,109.0
162,꿈의 마을 (Township),,110.0
163,Guns of Glory: 철가면,,164.0
164,프로야구 H3,,111.0
165,검은강호2: MMORPG 유저 원픽,,136.0
166,Identity V -제5인격,119.0,141.0
167,뇌명천하2 리턴즈,108.0,207.0
168,Pokémon GO,118.0,149.0
169,마이티 파워: 배틀 히어로즈. 매직 레전드.,,118.0
170,아르카,,158.0
171,인피니트 라그랑주,,174.0
172,레이드: 그림자의 전설,,120.0
173,프렌즈팝콘,,125.0
174,애니팡2,,121.0
175,"글램 - 데이트, 라이브 채팅으로 만남을 재밌고 쉽게",95.0,187.0
176,코노스바 모바일 - 판타스틱 데이즈,,123.0
177,퍼즐앤드래곤,,124.0
178,밀리의 서재 - 독서와 무제한 친해지리,90.0,201.0
179,그랑사가,,216.0
180,블레이드&소울2(12),,128.0
181,클럽 오디션,83.0,226.0
182,애니팡4,,150.0
183,아자르 Azar - 새 친구로 일상을 새로고침,84.0,230.0
184,대항해의길,,445.0
185,캐리비안의 해적: 전쟁의 물결,,215.0
186,더 킹 오브 파이터즈98 UM온라인,,348.0
187,카카오웹툰 – KAKAO WEBTOON,45.0,
188,"Spoon 스푼: 오디오 소셜 미디어에서 즐기는 라이브 방송, 팟캐스트, 토크",46.0,
189,프린세스 커넥트! Re:Dive,,133.0
190,"WPL : 텍사스 홀덤, 토너먼트, 싯앤고",69.0,309.0
191,쾌남본좌,,193.0
192,동방불패 모바일,,305.0
193,찐삼국,,198.0
194,위 베어 베어스 더 퍼즐,,137.0
195,삼국블레이드,,195.0
196,궁정계,,327.0
197,Mech Arena (메크 아레나): Robot Showdown,,142.0
198,프렌즈팝,,157.0
199,클래시 로얄,,145.0
200,별이되어라!,,281.0
