,title,url
47,What The Hell Is DokeV?,https://www.youtube.com/watch?v=aMnTRe9GVkQ
48,26일 공개 블소2 VS 도깨비 미친 두 게임을 소개합니다 - 엔씨와 펄어비스,https://www.youtube.com/watch?v=eILXiVHaN2A
49,펄어비스 도깨비 게임 댓글모음 (블소2와 극과극의 반응),https://www.youtube.com/watch?v=Wa4cmfIItE0
50,현재 난리난 펄어비스 도깨비 게임 그래픽    DokeV,https://www.youtube.com/watch?v=-2Uxu6Dz3As
51,DokeV Official Extended Gameplay Trailer Reaction! | Gamescom ONL 2021,https://www.youtube.com/watch?v=lH5RwgcoZhg
52,"DokeV - ""ROCKSTAR"" (TAK Remix Version) - Official World Premiere Gameplay Trailer Song Music",https://www.youtube.com/watch?v=C5oaFytcRjw
53,Korean Pokemon With Kpop And Magical Guns...Yes.,https://www.youtube.com/watch?v=DNSw6sleUo8
54,Gamescom Opening Night Live 2021 - Easy Allies Reactions,https://www.youtube.com/watch?v=n9_bxpz8CKA
55,"도깨비 펄어비스의 붉은사막, 세계에서 인정하고 있는 국산 RPG?? (Crimson Desert | Pearl Abyss)",https://www.youtube.com/watch?v=wbMTx6QsdjE
56,DokeV Gameplay Trailer REACTION!! Gamescom 2021 - The Hype Horn,https://www.youtube.com/watch?v=mklmkwgI5BI
57,어린시절로 돌아가는 듯한 느낌이 드는 게임 [펄어비스 도깨비],https://www.youtube.com/watch?v=VuvVORp35qk
58,DokeV VS Pokemon Legends: Arceus,https://www.youtube.com/watch?v=Aq4otwHcgfc
59,"[도깨비] - 펄어비스 2020년 첫 신작이 될 최고 기대작 ""도깨비"" 분석! 도깨비는 어떤 게임 일까??",https://www.youtube.com/watch?v=750kEopHySw
60, DokeV                                                   PC/CS ,https://www.youtube.com/watch?v=MejW8DKf7d0
61,"도깨비(DokeV) 추가정보 공개 - 세계관과 전투, BM관련 재화",https://www.youtube.com/watch?v=g9kk-0WQtLE
62,DokeV Open World                      Black Desert | Online Station Scoop,https://www.youtube.com/watch?v=GugI7sSPOo0
63,진짜 오랜만에 게임으로 국뽕 느껴본 도깨비 해외 반응,https://www.youtube.com/watch?v=-8xtNVArBVs
64,DokeV Gameplay Reveal Trailer Reaction Mashup,https://www.youtube.com/watch?v=5sZ9LHgANhc
65,DokeV Gamescom Trailer REACTION! (WHAT A LEGENDARY GAME!),https://www.youtube.com/watch?v=sTLfY1BcE_4
66,            DokeV                                      | Genshin Impact,https://www.youtube.com/watch?v=WtKUKEyapAQ
67,"                                   2020. TFT, Project PK, DokeV, Pascal's Wager, Harry Potter: MA",https://www.youtube.com/watch?v=sCDI0EWY9m4
68,펄어비스 도깨비(DokeV) 내가 한국게임을 인정하게 될 줄이야   ,https://www.youtube.com/watch?v=2wgFvkYn6hU
69,PlayStation | Xbox | PC : Ce NOUVEAU JEU en OPEN WORLD a l'air compl tement OUF !   Voici : DOKEV,https://www.youtube.com/watch?v=JTxiQ6rF4HY
70,[비트세이버] 펄어비스 도깨비(DokeV) - ROCKSTAR (TAK Remix),https://www.youtube.com/watch?v=L25Suu0pYP8
71,"전투? 배경? 꿈의 조각?, 펄 어비스 개발자가 말하는 도깨비의 디테일",https://www.youtube.com/watch?v=3sYjs2chpaM
72,Gamescom Opening Night 2021 REACTION + ANALYSIS - Gamescom 2021 Predictions,https://www.youtube.com/watch?v=Z2s4w3-WJSU
73,"[지스타2019] 펄어비스 신작 기대작 대방출! 트레일러 영상공개[도깨비,붉은사막,섀도우아레나,Plan8] 검은사막의 후속작!",https://www.youtube.com/watch?v=2NBFLH1dQTw
74, Game News DokeV                      ?,https://www.youtube.com/watch?v=we_Y8a--fTs
75,3D디자이너랑 같이 보기_도깨비_dokev (여러분 이제 솟대 알아요 ),https://www.youtube.com/watch?v=RSQI6GqE48U
76,Dokev: OPEN WORLD stile Pokemon BELLISSIMO da vedere!,https://www.youtube.com/watch?v=_Vb1RW-LoLw
77,DokeV - Official Extended Gameplay Trailer Reaction | Gamescom 2021,https://www.youtube.com/watch?v=fvbSoZHEG7o
78,Dokev Gameplay Overview - Future Games Show Gamescom 2021,https://www.youtube.com/watch?v=EZai5jPCyFA
79,"DOKEV -       ,               !             ",https://www.youtube.com/watch?v=XRekTG4GG3c
80,Semanal MMO 267 - DokeV el no MMO - Blade & Soul 2 - Vampire Bloodhunt - New World Open Beta y mas,https://www.youtube.com/watch?v=AkVrchiWUG0
