,닉네임,ID,내용,날짜,시간
22,ariya922🎀,@ariya_yui922,"RT @MeMeaw_K: ศิลปิน K-POP ที่มีผู้ติดตามมากที่สุดเดือนสิงหาคม 2564 
Twitter 
อันดับ 20 BamBam 69,558 
IG 
อันดับ 95 BamBam 98,060
ขอให้มีค…",2021-09-02,08:36:10
23,°•ⓛ🌴ⓤ•°,@greenbabybird77,"RT @defdaily: 210902 Twitter 

@GOTYJ_Ars_Vita : could it be our GOT7 album??
↳ @jaybnow_hr : Pardon???

#JAYB #제이비 #GOT7 #갓세븐",2021-09-02,08:36:06
24,KET_🕊👑🐢,@KET_SIWAPORNBUN,"RT @loveyou_nanoy: ความอยากล้วนๆ ตัวจิแตก 😅😅🌮🌮🤣🤣
@jaybnow_hr  #Jaebeom
@marktuan  #MarkTuan
@JacksonWang852 #JacksonWang #TEAMWANG
#JINYOUN…",2021-09-02,08:36:06
25,⌁ Def.rʏ. ☼☽,@lifeisjourneyry,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:36:05
26,Rain🎀riBBon🎀,@fonka555,"RT @_OuroBBoros_: BAMBAM x CHARM’S 💜

——————————
@BamBam1A @BAMBAMxABYSS 
#BamBam #뱀뱀 #แบมแบม #ベンベン 
#GOT7fanart #FANART #GOT7 #갓세븐 https:/…",2021-09-02,08:36:04
27,420👑,@coconutdef420,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:36:04
28,Jane🔗🌊🚗,@IGot7Jane25,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:36:03
29,Rome.Oil,@oil_rome,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:36:02
30,-ᗷAᗰKYUᗰ-🎀🌼,@BBYG1992,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:36:00
31,FW,@YesIAm24713000,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:36:00
32,🎀🎀💚💚,@BB_2569_MT,"RT @GOT7CBinfo: WATCH: JAY B sing In To You (Feat. g1nger) with @esquirekr!🎤

➡️ https://t.co/FXkpOKQAw3

@jaybnow_hr #JAYB #SOMOFUME
#GOT7…",2021-09-02,08:35:59
33,Pei Jun Loh 🐥,@PeiJunLoh,"RT @mystarplay: 🎂#스타플레이 #9월생일투표 1위 #마크‼️

❤️'코엑스 미디어 타워' 현장영상❤️
❤️'COEX Media Tower' footage❤️

🗓️9/2(Thur) - 9/4(Sat) [06:00 - 24:00] (KST…",2021-09-02,08:35:59
34,🏟Tt Got7 is Blue,@thanatium,"RT @mystarplay: 🎂#스타플레이 #9월생일투표 1위 #마크‼️

❤️'코엑스 미디어 타워' 현장영상❤️
❤️'COEX Media Tower' footage❤️

🗓️9/2(Thur) - 9/4(Sat) [06:00 - 24:00] (KST…",2021-09-02,08:35:58
35,10² SOMO : FUME B.T.W.,@aaetensquared,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:58
36,✨J R N🐷✨,@amm_jrn,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:56
37,qtpieme 🎀,@luvmeluv_,"RT @WORLDMUSICAWARD: #GOT7's #Jinyoung stuns on the cover of the September/October edition of #NoblesseMen!👊📸✨🌟🔥👑💚
#진영 #박진영 #GOT7 #갓세븐
http…",2021-09-02,08:35:55
38,⚖️Raveena🎀🔗𓅫,@raveenaarya,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:55
39,ariya922🎀,@ariya_yui922,"RT @MeMeaw_K: คุยกับพี่มาร์คเรื่อยๆ ค้าบ กรี๊ดดด🥰🥰
#MarkBam  #MTBB  #MarkTuan @marktuan
#BamBam @BamBam1A @BAMBAMxABYSS
#GOT7  #갓세븐   @GOT7…",2021-09-02,08:35:54
40,かぼちゃ🎃🎀🌼,@Got7jsss,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:54
41,진영♡,@pepijy_ning,"RT @mystarplay: 🎂#스타플레이 #9월생일투표 1위 #마크‼️

❤️'코엑스 미디어 타워' 현장영상❤️
❤️'COEX Media Tower' footage❤️

🗓️9/2(Thur) - 9/4(Sat) [06:00 - 24:00] (KST…",2021-09-02,08:35:51
42,JAYB𝔻𝕖𝕗••🌴🔗,@nnmfn,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:50
43,💚🌴🐰🐢🍑🌙🐍🐜🔗,@7Jaiii,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:35:49
44,sᴇᴄᴏɴᴅ,@secondaymm,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:49
45,Ä🎀,@AOOMB7,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:47
46,izzah,@SVNlTZYS,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:35:46
47,JidapaStarry,@JidapaStarry,"RT @peachpage_net: 존재하나 존재하지 않는 '자유의 마을'을 조망하는 스크린 (출처 : 연합뉴스 | 네이버 뉴스) https://t.co/zvqoD4VgX5

같은 시간 반대편 영상에선 미래의 한 공간을 배경으로 보이 그룹 '갓세븐'의…",2021-09-02,08:35:45
48,นูน่ารักกัส7ที่สุด,@o_nunalovegot7,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:43
49,ละยา ™ 🧸,@kkummiki,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:42
50,Ryuji Shiomitsu,@ryujishiomitsu,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:42
51,roan🔗🔮 I REST I,@Rooooooooorrr,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:41
52,aum​ rattanaphon,@aum_rattanaphon,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:36
53,BB💜 🎀🅁🄸🄱🄱🄾🄽🎀,@bb_kwanjai,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:35:36
54,🖤_/\__Yugyeom/HN_🤍,@Nojikiku1997,"RT @p_tellberg: ผสมน้ำหรือว่าโซดา อะไรก็ได้ขอให้มีคนนั่งอยู่ใกล้ๆ ตอนยกแก้ว 🥃 กรี๊ดดดดดด55555

#JAYB #InToYou @jaybnow_hr 
#ESQUIREKOREA #H…",2021-09-02,08:35:33
55,Ⓢummer丂ㄖㄩㄥ°,@vibesoulsummer,"RT @mystarplay: 🎂#스타플레이 #9월생일투표 1위 #마크‼️

❤️'코엑스 미디어 타워' 현장영상❤️
❤️'COEX Media Tower' footage❤️

🗓️9/2(Thur) - 9/4(Sat) [06:00 - 24:00] (KST…",2021-09-02,08:35:33
56,🏟Tt Got7 is Blue,@thanatium,"RT @GOT7CBinfo: WATCH: JAY B sing In To You (Feat. g1nger) with @esquirekr!🎤

➡️ https://t.co/FXkpOKQAw3

@jaybnow_hr #JAYB #SOMOFUME
#GOT7…",2021-09-02,08:35:32
57,Lime🌴ปังบอม 🌊 SOMO•FUME•JAYB•26•8,@Limethecocotree,"ใช่แล้วค่ะทุกคน เขาคือคนเดียวกัน 😳
Jaebeomie, I’m so in to you ~ 
#JAEBEOM #JAYB @jaybnow_hr 
#GOT7 #갓세븐… https://t.co/WKiFQ2j9gG",2021-09-02,08:35:31
58,𝔼-𝔹𝕖𝕒𝕦𝕜𝕪​💅ft.ตอบแชทไม่ไหวจริงๆตัวเอง🥲,@Callmebeauky,"RT @Callmebeauky: ลุคนี้คือผู้บริหารหล่อมากแกร๊~~~~😳👑
#제이비 #JAYB​​   @jaybnow_hr 
#갓세븐 #GOT7 @GOT7Official https://t.co/uPLAEr3HuV",2021-09-02,08:35:31
59,รักพี่มาร์คหลงพี่มาร์คบูชาพี่มาร์ค🐊🐍 ft.Tuanzy🎀,@MarkbamKkn,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:30
60,ymmoa🎀,@lolalolylo,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:30
61,°•ⓛ🌴ⓤ•°,@greenbabybird77,"RT @magnetic_jayb: Bambam struggling to pronounce the word “OBSESSED” 😂

@BamBam1A #BamBam #뱀뱀 #GOT7 #갓세븐 @GOT7Official https://t.co/AR8Obl…",2021-09-02,08:35:28
62,Rain🎀riBBon🎀,@fonka555,RT @TeamYouTubeBB: วันนี้จะได้เห็นความแพรวพราวของพี่แบมวิดีโอคอลกับผู้โชคดีแล้ว แต่ระหว่างรอโมเม้นจากผู้โชคดีที่ได้คอลกับพี่แบม มาเจอน้องแม…,2021-09-02,08:35:27
63,🎀🎀แพะรักน้องต้นเอง🎀🎀,@Ple_Rattikarn,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:26
64,420👑,@coconutdef420,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:24
65,Pias,@Phicham55465304,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:22
66,엘 || waiting for arsolo ☀️,@_asdfghjackson,"@everyARS @StreamingJayB @jaybnow_hr @GOTYJ_Ars_Vita @GOT7Official thank you so much po💚💚
#Streamwith2jae #Youngjae… https://t.co/6s6ro9VqxW",2021-09-02,08:35:21
67,𝑴𝒆,@pnxzzzz,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:20
68,gela🐰,@tuanzy_got7,"RT @frsae0601: مدل خوندنش
صداش
استایلش
موهاش 
دستاش
You make me crazy 
@GOT7Official #GOT7 #갓세븐 
@jaybnow_hr #JAYB #제이비 https://t.co/KPRoZF…",2021-09-02,08:35:20
69,💚JBPP💙🌼🎀,@Pronpun55250226,"RT @hirunwadee: อุตะ ตะบอมมี่..😳
แบบี้เป็นเพื่อน..เราไม่ โอ!!!! นะ

#H1GHRMUSIC 
#JAEBEOM #JAYB @jaybnow_hr 
#GOT7 #갓세븐 @GOT7Official

 htt…",2021-09-02,08:35:20
70,🦅Ja_little girl 💚,@Jujar_juju,"RT @GOT7CBinfo: WATCH: JAY B sing In To You (Feat. g1nger) with @esquirekr!🎤

➡️ https://t.co/FXkpOKQAw3

@jaybnow_hr #JAYB #SOMOFUME
#GOT7…",2021-09-02,08:35:19
71,MT&BB 💊💜❤,@nattayanee69,"RT @king97BamBam: กี่ปีๆก็น่ารักเสมอ อยากหยุมแก้ม อยากหยิกอ่ะ 
#BamBam  #뱀뱀 #แบมแบม  @BamBam1A @BAMBAMxABYSS  #GOT7  #갓세븐   @GOT7Official h…",2021-09-02,08:35:18
72,เดือนสิงหาคม,@Agostomess,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:18
73,Y.☁️,@wiphdnp,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:35:17
74,ISA - SOMO:FUME 🔗🌴📸,@_isabeomarsss,"Sir @GOTYJ_Ars_Vita Youngjae you make ahgase crazy today, u know? 🤣🤣🤣

#Youngjae #영재 @GOT7Official #GOT7 #갓세븐 https://t.co/aryN8Z1KGH",2021-09-02,08:35:17
75,roan🔗🔮 I REST I,@Rooooooooorrr,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:35:14
76,ซอ ㅁㅅㅇ,@SoMMCha95,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:35:13
77,rie 愛,@ARSGYE0M,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:35:13
78,°•ⓛ🌴ⓤ•°,@greenbabybird77,RT @SBS_star: #GOT7 #JAYB expressed gratitude to #JayPark for giving him great advice after joining his label. #갓세븐 #제이비 #박재범 @H1GHRMUSIC…,2021-09-02,08:35:12
79,ยูคยอมของป้า 🌼✨🎀 GOT7FOREVER - POV:U,@myyumyy,"RT @WORLDMUSICAWARD: #GOT7's #Jinyoung stuns on the cover of the September/October edition of #NoblesseMen!👊📸✨🌟🔥👑💚
#진영 #박진영 #GOT7 #갓세븐
http…",2021-09-02,08:35:09
80,GaOyTe7_LaLa,@gaoyte7,"RT @SINE_SAND_SINE: โอ้ยยยยย พ่ออออ สายตาาหนะะะะ😳🌴🔥

#SOMOFUME #재범 #JayB #제이비 #데프 @jaybnow_hr #GOT7 #갓세븐 @GOT7Official
제이비(JAY B) 첫 EP 'SOM…",2021-09-02,08:35:07
81,you are my gravity🌙 #최영재,@helloitsOG333,"RT @ye3eul2_7: 간만에 그리니까 잼밋서
#GOT7 #갓세븐 #영재 https://t.co/IFYerYdEYJ",2021-09-02,08:35:07
82,Linly30JAYB_SOMO:FUME☯️,@Linly30JB,"RT @p_tellberg: ผสมน้ำหรือว่าโซดา อะไรก็ได้ขอให้มีคนนั่งอยู่ใกล้ๆ ตอนยกแก้ว 🥃 กรี๊ดดดดดด55555

#JAYB #InToYou @jaybnow_hr 
#ESQUIREKOREA #H…",2021-09-02,08:35:06
83,🌴Don't_Cry🍑 B.T.W : SOMO 🎶 #GOT7FOREVER🔗,@DontTouch_Mee,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:35:02
84,@BamBam1a × ABYSS COMPANY 😘💜😘,@NAmnah55,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:34:58
85,รับคนตอบแชท คอนเฟิรฺ์มออเดอร์,@FvbC5Gdsg6AjIK4,"RT @peachahgase: Daily Jinyoung Day 1203

#Jinyoung #박진영 #진영
#GOT7 #갓세븐 @GOT7Official https://t.co/qu1jSkZE7S",2021-09-02,08:34:57
86,خال رو بازوی جه‌بوم,@frsae0601,"RT @def_hani: این همه اینتر تو تی الم چه میکنه....
پز البومشونو میدن.......
JB
JAYB
GOT7
#제이비
#갓세븐
@jaybnow_hr
@GOT7Official",2021-09-02,08:34:56
87,cori,@guvailgray_xc3,"RT @ArsMonthly: 🐥 I'm eating ramyeon. It's Shin Ramyeon. Please choose (what should I add as) the toppings.
[1] Cheese
[2] Chopped spring o…",2021-09-02,08:34:56
88,ldssl ALBEOM 26.08🔥,@jaebeomIdef,"RT @GOT7CBinfo: WATCH: JAY B sing In To You (Feat. g1nger) with @esquirekr!🎤

➡️ https://t.co/FXkpOKQAw3

@jaybnow_hr #JAYB #SOMOFUME
#GOT7…",2021-09-02,08:34:54
89,~♡Ying♡~,@Yingchonlada3,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:34:53
90,za❣︎,@urstarza,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:34:53
91,𝒥𝐼𝒩𝒮☯𝒩 🐶⚖️,@shanu24,"RT @OKDEF106: Cute cute Beommi 🙆🏻‍♀️🙆🏻‍♀️🤏🏼🤏🏼🤏🏼😊
@jaybnow_hr #JAYB #제이비 #Jaebeom #Def #GOT7 #갓세븐 #H1GHRMUSIC https://t.co/mvPuo82fWO",2021-09-02,08:34:51
92,🎀รักน้องแบม🎀🐍🐍,@grapebam,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:34:48
93,megu🍑🌊🍑,@sweetbonbonj,"RT @peachpage_net: 존재하나 존재하지 않는 '자유의 마을'을 조망하는 스크린 (출처 : 연합뉴스 | 네이버 뉴스) https://t.co/zvqoD4VgX5

같은 시간 반대편 영상에선 미래의 한 공간을 배경으로 보이 그룹 '갓세븐'의…",2021-09-02,08:34:48
94,sol🌴🎶 ➡️ 🐼💥,@in_solitud3,"RT @GOT7CBinfo: WATCH: JAY B sing In To You (Feat. g1nger) with @esquirekr!🎤

➡️ https://t.co/FXkpOKQAw3

@jaybnow_hr #JAYB #SOMOFUME
#GOT7…",2021-09-02,08:34:46
