,닉네임,ID,내용,날짜,시간
29,휴트,@_Huute__,4. 연령대에 맞게 행동해주세요. 미성년자면서 누가 봐도 성인 관람가인 거 가지고 깔깔대거나 그 내가 19금을 잘 볼 것 같다 못 볼 것 같다 해시태그 쓰시는 것도 싫어요. 잘 보고 못 보고의 문제가 아니라 미성년자는 보면 안 되는 나이에요.,2021-09-02,08:01:11
30,🦋,@zzzixxxi,이렇ㄱ 저장해두면 뭔지 내가 어케 알아.. 아휴 가인아 https://t.co/zje7axXgFm,2021-09-02,08:01:05
31,🦊,@gahsjslq,"RT @yeneex2: 병철이가 가인이 방에서 자다가 방 문이 닫겨서
화장실에 못 가서 가인이 이불에 쉬했다
가인이가 으악 이게뭐야!! 하면서 이불빨래하니까
시무룩해져서 계속 저러고 있음...ㅠㅠㅋㅋㅋㅋ https://t.co/tG22n3tttb",2021-09-02,08:00:54
32,브아걸카피페봇,@BG_CPP,"제아 「지각에 대해 가장 그럴싸한 변명을 한 사람은 특별히 봐줄게.」
미료 「아침이 너무 빨리 왔어...」
나르샤 「오랜만에 너의 화난 얼굴이 보고 싶어서.」
가인 「제가 늦은 게 아니라 언니가 빨리 온거에요.」",2021-09-02,08:00:19
33,🌺무궁화연어🌺,@DDaZaichu,@beenspinach 내가인용한거중에있어^^,2021-09-02,07:57:51
34,류화,@gDnUAxz9CltNup6,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,07:45:52
35,✨앨리스✨,@Alice_UL,RT @Ooo_ooOho: 올가바네 ... 하트를 든 작은 올가인형...(💚 https://t.co/rFWFICOQim,2021-09-02,07:38:11
36,노랑하늘,@gimyun626,"임영웅 사랑의콜센타 미운사랑
임영웅 사랑하는 내 가수 응원합니다 
#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅브평팀 
출처:미스앤미스터트롯유튜브
편집:가인청도 https://t.co/yUr8WywSID",2021-09-02,07:37:42
37,유진영웅처럼커라,@hero06161004,"임영웅 웃는모습이 너무 이뻐요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/vCQqVpAzNl",2021-09-02,07:31:37
38,4️⃣ever 부농둥이,@ertyujhgfdxcvbh,RT @tokicullen: 송가인님의 왕팬인 우리엄마😆 가인이어라 노래 가사에서 가인에 낙연 넣어 부르고있곸ㅋㅋㅋㅋ대선때 이 노래 쓰면 좋겠다고 가사랑 이낙연 후보님이랑 너무 잘 맞는다곸ㅋㅋㅋㅋㅋ컵라면 먹다 뿜을뻔 했넼ㅋㅋㅋㅋ벌써 대선생각 하는 우…,2021-09-02,07:31:19
39,유진영웅처럼커라,@hero06161004,"임영웅 부르는 노래마다 새로움을 더합니다 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/Pm7z2yFYrR",2021-09-02,07:30:30
40,유진영웅처럼커라,@hero06161004,"임영웅 목소리가 주는 힘이 대단한가수! 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/H5Thp10akw",2021-09-02,07:28:35
41,유진영웅처럼커라,@hero06161004,"임영웅 모든노래의 임영웅화 너무 좋아요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/TGZBUsDOv3",2021-09-02,07:28:13
42,유진영웅처럼커라,@hero06161004,"임영웅 목소리가 주는 힘이 대단한가수! 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/qaiO77Zws2",2021-09-02,07:27:54
43,유진영웅처럼커라,@hero06161004,"임영웅 모든노래의 임영웅화 너무 좋아요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/tSHoWaQCxD",2021-09-02,07:27:37
44,유진영웅처럼커라,@hero06161004,"임영웅 이미알던 노래이건 처음듣는 노래이건 상관없이 모든노래의 임영웅화 너무 좋아요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/e84xE4WDsu",2021-09-02,07:27:21
45,유진영웅처럼커라,@hero06161004,"임영웅 별빛같은나의사랑아 응원합니다 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/sRy7uvbyx6",2021-09-02,07:26:04
46,유진영웅처럼커라,@hero06161004,"임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/jcws4wkePY",2021-09-02,07:25:50
47,유진영웅처럼커라,@hero06161004,"임영웅 부르는 노래마다 새로움을 더합니다 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/vo0iuDSAwJ",2021-09-02,07:25:38
48,유진영웅처럼커라,@hero06161004,"임영웅 아는노래든 모르는 노래든 새로워요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/dl5CvgKJic",2021-09-02,07:25:23
49,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 사랑의콜센타 붉은입술
임영웅 웃는모습이 너무 이뻐요 

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅브평팀 
출처:tv조선/편집:가인청도 https://t.co/v5G6S2hpvO",2021-09-02,07:24:02
50,유진영웅,@KUumxYC5S71oFkg,"임영웅 웃는모습이 너무 이뻐요 

임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/UBHKwK6yv5",2021-09-02,07:23:58
