,닉네임,ID,내용,날짜,시간
23,브이,@abidingseason,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ https://t.co/RCCbmvPgnX",2021-09-02,01:53:10
24,여령,@WF_Yeoryeong,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,01:20:47
25,참참잉,@loh_cham,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ https://t.co/RCCbmvPgnX",2021-09-02,01:19:55
26,기매정,@S2L0V_S2,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,23:22:20
27,M’shuhk Noe,@Shyo_is,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,20:16:05
28,권영국-서울특별시거주 MY🔭📐⚘🎅🎄🏡📁다코🔭📐🌹다비치V🏗📊🇰🇷,@kwonyeongguk1,"20161013 다비치(Davichi) - 가을의 밤 
#핼스타🌟#밍스타🌟#다비치 #DAVICHI #이해리 @tweethaeri #강민경 @iamkmk✌😍💕👭지금 들어도 역시 명곡!!!
https://t.co/t4BexRyHAy",2021-09-01,14:04:52
29,다비치 가사 봇,@DAVICHI_lyrics,"비 오는 거리 너와 나 
같이 있다는 것만으로 난 더 떨려와

어떤 날엔 맑은 하늘 아래서
너와 둘이 걸을 때 

가슴이 또 두근거려 너의 곁에 있을게
하얀 구름 하늘에 너 하나로 가득해져

- 강민경&amp;키썸 「비 오는 거리 너와 나」 中 -",2021-09-01,14:00:08
30,그린티,@allmonte,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,11:49:37
31,윤끼룩,@kkiruk_yoon,헐 프롤라에 강민경 다녀갔네,2021-09-01,11:29:36
32,에스텔라,@estrella_bb__,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,11:21:49
33,히노히나 엄마되는 사람입니다 맞팔해요~,@akrkfpxm_cm,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,11:03:13
34,CaLa (F4F 맞팔 선팔 相互 100%),@kosizaco,선팔 개발자 버튼홀 스카디 웨이퍼 시트 협약식 것같아 머스트 싼원룸 원동역 항만법 카자 군날개 무용복 양동근 지정은 한려화 한판 강민경 두돈반 스냅링 주작산 투자왕 카렌다 옥영어 충고 분전반 금광리 엔키노 F4F 맞팔 相互 フォロバ 100%,2021-09-01,10:54:34
35,Frolla,@Frolla9,"여느 날과 같던 평범한 수요일.
이분이 다녀가시고 특별한 날이 되었습니다.

밍키마법🧚‍♀️

방문 감사합니다!
강민경 님 :) @프롤라-Frolla https://t.co/mJg80e3X71",2021-09-01,10:49:12
36,i,@ixlxxz,"리와인드블라썸 구성품 포카 양도합니다

산들 포카 장당 준등포 0.4 (포카 2200원 + 준등기비 1800원)
강민경 어반자카파 박문치 유승우 장당 준등포 0.3 (포카 1200원 + 준등기비 1800원)… https://t.co/L6eZscwZBA",2021-09-01,10:28:34
37,MINN,@fromminn,"RT @cosmokorea: 요즘은 반려식물이 대세🌿 강민경, 태연의 식물 인테리어

#강민경 #아이비 #태연 #김나영 #반려식물 #셀럽 #식물 #고무나무 #실내 #초보 #오렌지자스민 #머니트리 #집들이선물 #자귀나무 #식물키우기 #나무
https:…",2021-09-01,10:17:50
38,권영국-서울특별시거주 MY🔭📐⚘🎅🎄🏡📁다코🔭📐🌹다비치V🏗📊🇰🇷,@kwonyeongguk1,20210901 #밍스타🌟#다비치 #DAVICHI #강민경 @iamkmk #강휴지 #강흊찌 #휴지 #흊찌 #HUCCI @huccikang😍✌💕강휴지야 무엇을 발견했나?!!~^^ https://t.co/6a2lLbQN36,2021-09-01,10:17:32
39,🌸지왈왈왈🌸,@wal_Gamerr,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,10:11:30
40,cosmokorea,@cosmokorea,"요즘은 반려식물이 대세🌿 강민경, 태연의 식물 인테리어

#강민경 #아이비 #태연 #김나영 #반려식물 #셀럽 #식물 #고무나무 #실내 #초보 #오렌지자스민 #머니트리 #집들이선물 #자귀나무 #식물키우기 #나무
https://t.co/o76KIfNwS8",2021-09-01,10:00:00
41,율무/마리에,@Jobstears0_0,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,09:28:14
42,양손검🗡️🥕🐎🎤🏥🦀,@pbzweihander,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,09:27:39
43,Gallen,@__abyssopelagic,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,09:26:35
44,권영국-서울특별시거주 MY🔭📐⚘🎅🎄🏡📁다코🔭📐🌹다비치V🏗📊🇰🇷,@kwonyeongguk1,"20210901 #밍스타🌟@iamkmk 후 맛있어 킹쳐버려킹지나킹킹나네;;
#다비치 #DAVICHI #강민경 @iamkmk😍✌☕❤❣ https://t.co/T5CIZbboUs",2021-09-01,09:04:31
45,공냥냥냥,@0gabin0,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ https://t.co/RCCbmvPgnX",2021-09-01,08:11:06
46,김이피그,@gimguineapig,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,08:05:43
47,Ƴᗝᗪᗩᗰ,@crazy_tempest,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:57:51
48,🍑MTRT🍑주 ,@BEST_SuPerDuPer,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:46:42
49,치야🌙,@Chiya_FFXIV,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:38:56
50,🌱권일🌱,@FF14_1604,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:38:54
51,권영국-서울특별시거주 MY🔭📐⚘🎅🎄🏡📁다코🔭📐🌹다비치V🏗📊🇰🇷,@kwonyeongguk1,"20210901 #텀블러 (코로나19 때문에 텀블러 사용 못함ㅠㅠ) #밍스타🌟#다비치 #DAVICHI
#강민경 @iamkmk❄☃️☕️ 아이스아메리카노 #현대백화점 #신촌점 #11층 #CAFE_H https://t.co/KIbhM7sKiR",2021-09-01,07:38:03
52,✨개강맨 세오시로✨,@MD_Seosiro_SHK,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ https://t.co/RCCbmvPgnX",2021-09-01,07:35:54
53,Lucy,@Lucy_7100000000,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:35:44
54,ӫ쌰,@SSSSSYA__,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:33:49
55,☀🌴여름을 사랑하는 세두☔🌩,@FF14_Chesed,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:32:27
56,양도,@4f47fAhASkpmZRy,"🌸리와인드 블라썸 포카 양도🌸

준미포 가격입니다. (+1800)

아이즈원: 포카+스티커

예민하신 분 ❌❌❌
포카 상태 영상으로 확인시켜드립니당

오픈채팅으로 연락주세용… https://t.co/5lutxYXRvQ",2021-09-01,07:32:18
57,쌀과자 주세요,@inss0317,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:24:49
58,...좋다,@powermeerkat,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:08:38
59,언해피까사 / 팬페신청 11월 2일,@mackerel_ff14,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:08:23
60,탕,@tangsu6f,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:08:19
61,미음/or프ㅈlㅁr랏당,@bb_mieum_,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:07:02
62,예화,@JinYehwa,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:06:50
63,퐁듀,@Raspberry_Finn,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:06:47
64,은가비v ㆍ⌓ㆍ,@59S259,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:06:16
65,"메인트!)흑흑,,",@HIYARU_,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:04:16
66,아스,@momocwng,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:04:15
67,💜🍪나예,@_LILYET,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:03:05
68,𝙀𝘽,@Ebbbbb_14,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:02:20
69,《백의 언약》부기맨🎗️,@junesock,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,07:00:38
