,닉네임,ID,내용,날짜,시간
19,윤희...,@cupofmilkhj,RT @drug_climb: 진짜 똥이란게 엄청 가치 있어서 똥만 싸도 축하 받고 아무 일 안해도 되는 그런 세계에서 살고 싶다.. https://t.co/IfDIrSMdPf,2021-09-02,08:33:22
20,민송월,@chilbangtan,"RT @sungkkshawnpark: ""제 존재 가치를 타인을 통해 확인받고 싶은 욕구는 엄청난데 서로를 인정해주는 너그러움은 부족하다. 웬만큼 잘나지 않으면 괜찮은 사람으로 인정받지 못한다. 한국인들이 많이 취하는 방법 가운데 하나가 바로 타인에…",2021-09-02,08:33:17
21,은설화,@IN_BL0215,RT @Hwalzadolis1: 섹파 그런데 이제 쌍방인...아현문대. 계속해서 어떻게든 본인의 존재가치를 입증해야한다는 강박에 되도않는 '위로'를 해주며 본인의 '존재가치'를 입증하는 선아현과 시스템의 상실 이후 무너져가는 박문대. 쾌락에 젖어있을…,2021-09-02,08:33:05
22,브륑잇온빗취!,@GunZae_s,RT @LoveSujunggong: 나는 선한사람이 보답받는게 좋아... 어째서 선의는 아무런 의미 없이 가치없는 종잇조각처럼 여겨지고 마냐고 좌절해서 우는 것보단 그래도 믿고 달려온 가치가 있었다고 울면서 만신창이로 웃는게좋아 ㅅㅂ,2021-09-02,08:33:00
23,에딕,@nickf_plants,"RT @jokermanura: 가을 조증:
바람은 시원하고 하늘은 높고 파랗고 나무들은 예쁘고 나는 대단해!!!!!!! 최고!!!!!!!! 인생은 역시 살만한 가치가 있는거야!!!!!!!!!!!!!!!!!
가을 울증:
바람은 시원하고, 높은 하늘은…",2021-09-02,08:32:45
24,ㅂㄹ,@bbb_bori,사랑 받고 자란 티나 부티가 난다는 건. 말 그대로 '그렇게 보인다는 것'뿐. 아무런 실효성도 가치도 없다. 둘다 꽤 들어본 이야긴데. 반대로 내 사정을 자세히 아는 이들에겐 '널 보면 내 불행은 아무 것도… https://t.co/qwWzsmwSEE,2021-09-02,08:32:35
25,고민식,@arrowlecaf,"RT @sweetrain4you: 가치를 위해 이익을 포기할 수 있을지,
아니면,
이익을 위해 가치를 내려 놓아야 할 지,
어른이 되면 이런것이 고민이 될 줄 알았으나 아니었다. 선택이 아니라 본성의 문제라 오히려 간결했다.
오늘도 본능에 따라 한걸…",2021-09-02,08:32:25
26,히휴..,@ycX4TcgdsxPfWBS,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:32:18
27,사람 사는 세상,@kanggamel,"@Jaemyung_Lee 왜?
선명하지 못한건가요?
지지철회할까요?

#검찰개혁
#언론개혁
#조국수사

왜 간보기하는겁니까?
당신의 정체성입니까?
표 의식해서 쇼하는겁니까?
가치에 반해 쇼하는 정치인은 신뢰… https://t.co/7LEaR6oPwN",2021-09-02,08:32:06
28,매(썅),@22194ms,@givemeseimina 웹툰먼저? 나월급오면바러볼라는데 소장의가치가잇나욘?,2021-09-02,08:32:03
29,💜❤늜💙💚,@HeeceePp777777,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:32:01
30,크레바스,@krevass,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:32:00
31,ruvyn‎,@ruvyn,"RT @pyodogi: 불매운동이 항상 성공한건 아니죠. 성공한 사례가 도리어 적을지도.하지만 1000명중 1명만 불매라도 가치가 없는건 아닙니다.
남이 어떻든 내가 싫은 회사를 안쓴다는게 더중요하니까요. 1명의 불매는 매출에 영향이 적겠지만, 그걸…",2021-09-02,08:31:51
32,미키죠~,@mikicho221,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:31:49
33,공구,@CY_0998,시바는 액자를 액자보다 더 큰 가치의 물건과 교환(??)한다고 했는데 케니스에게 주게 된 과정이 뭘까 케니스가 이상을 펼치는 모습을 보고 과거에 만났던 애기가 어케 행동할지 흥미본위로 행동한 뭐 그런걸까,2021-09-02,08:31:46
34,됴라,@lewinzeits,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:31:33
35,이나님 🐇 입시생 예정,@GAME__rabbit_,RT @LoveSujunggong: 나는 선한사람이 보답받는게 좋아... 어째서 선의는 아무런 의미 없이 가치없는 종잇조각처럼 여겨지고 마냐고 좌절해서 우는 것보단 그래도 믿고 달려온 가치가 있었다고 울면서 만신창이로 웃는게좋아 ㅅㅂ,2021-09-02,08:31:22
36,서리가을,@frost_autumn_,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:31:20
37,NEO_Gㅏ@을&별₩Hㅏ$늘™mk2_public,@Autumnstarrysky,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:31:14
38,💙 민주 4기 대통령 4번 이낙연💙수리수리얍,@park10008,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:31:08
39,Problem Solver / Fashion Developer,@sungkkshawnpark,"""제 존재 가치를 타인을 통해 확인받고 싶은 욕구는 엄청난데 서로를 인정해주는 너그러움은 부족하다. 웬만큼 잘나지 않으면 괜찮은 사람으로 인정받지 못한다. 한국인들이 많이 취하는 방법 가운데 하나가 바로 타… https://t.co/0sqyfaT1DH",2021-09-02,08:31:08
40,레이첼,@Rachel__Hw,보석보다 더 가치있는 것들이 많은 걸.,2021-09-02,08:30:42
41,Coletta,@colettacolla,53. 사람의 가치는 타인과의 관계로서만 측정될 수 있다. -니체 https://t.co/mx1BGI2aht,2021-09-02,08:30:38
42,은열쇠🗝️,@Silverkey027,RT @pastparticiple3: 다만 우리가 이런 문제들을 덜어 놓고 작품의 가치를 어떻게 측정하고 소비할 것인가에 대해서는 계속 고민할 필요가 있겠죠. 물론 그것을 그렇게 중요하고 진지하게 생각하는 분위기는 아닌 것 같습니다.,2021-09-02,08:30:36
43,은열쇠🗝️,@Silverkey027,"RT @pastparticiple3: 자칫 미술품이 그 자체로 가치를 지니지 못하는 상황을 드러내기 때문에 허무주의적으로 가거나, 작가 본인이 이름값을 높여서 작품 값을 띄워야겠다는 식의 자본주의적 기획으로 흘러가게 될 수도 있기 때문에 뭐... 조…",2021-09-02,08:30:34
44,은열쇠🗝️,@Silverkey027,"RT @pastparticiple3: 이건 사실 키펜베르거 본인의 의도가 잘 구현된 것 같습니다. '그림의 가격을 결정하는 것은 무엇인가?'에 대한 좋은 비판이었죠. 작가의 명성, 작품이 가지고 있는 오리지널리티 등등... 그것이 다른 작가의 작품으…",2021-09-02,08:30:33
